Competition,Wk,Time,Home,Home_URL,xG,Score,Away,Away_URL,Attendance,Venue,Referee,Match Report,Match Report_URL,Notes
zaSouth African Premiership,,19:30(20:30),Sekhukhune United FC,https://fbref.com/en/squads/069cbac8/Sekhukhune-United-FC-Stats,,,Chippa United,https://fbref.com/en/squads/09ec62b7/Chippa-United-Stats,,Peter Mokaba Stadium,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/09ec62b7/069cbac8/Chippa-United-vs-Sekhukhune-United-FC-History,
zaSouth African Premiership,,19:30(20:30),Orbit College,https://fbref.com/en/squads/8c93c09e/Orbit-College-Stats,,,Polokwane City,https://fbref.com/en/squads/5b3adc57/Polokwane-City-Stats,,Olympia Park,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/8c93c09e/5b3adc57/Orbit-College-vs-Polokwane-City-History,
chSwiss Women's Super League,5,18:30(19:30),St. Gallen-Staad,https://fbref.com/en/squads/6532abfd/St-Gallen-Staad-Stats,,,Thun Berner-Oberland,https://fbref.com/en/squads/74607214/Thun-Berner-Oberland-Stats,,Kybunpark,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/74607214/6532abfd/Thun-Berner-Oberland-vs-St-Gallen-Staad-History,
chSwiss Women's Super League,5,19:00(20:00),Servette,https://fbref.com/en/squads/e83b563b/Servette-Stats,,,FC Aarau,https://fbref.com/en/squads/8639922f/FC-Aarau-Stats,,Stade des Trois-Chênes,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/e83b563b/8639922f/Servette-vs-FC-Aarau-History,
chSwiss Women's Super League,5,19:00(20:00),FC Luzern,https://fbref.com/en/squads/05ccbeee/FC-Luzern-Stats,,,Grasshopper,https://fbref.com/en/squads/4839a4f1/Grasshopper-Women-Stats,,swissporarena,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/4839a4f1/05ccbeee/Grasshopper-vs-FC-Luzern-History,
chSwiss Women's Super League,5,19:30(20:30),FC Rapperswil-Jona,https://fbref.com/en/squads/b31a2b9e/FC-Rapperswil-Jona-Stats,,,Young Boys,https://fbref.com/en/squads/6e7892af/Young-Boys-Women-Stats,,Sportstadion Grünfeld Platz 1,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/b31a2b9e/6e7892af/FC-Rapperswil-Jona-vs-Young-Boys-History,
chSwiss Women's Super League,5,20:00(21:00),Basel,https://fbref.com/en/squads/389a13b7/Basel-Women-Stats,,,FC Zürich,https://fbref.com/en/squads/8266975e/FC-Zurich-Stats,,Leichtathletik-Stadion St. Jakob,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/8266975e/389a13b7/FC-Zurich-vs-Basel-History,
trSüper Lig,1,20:00,Kayserispor,https://fbref.com/en/squads/1f33fbc7/Kayserispor-Stats,,,Beşiktaş,https://fbref.com/en/squads/0f9294bd/Besiktas-Stats,,RHG Enertürk Enerji Stadyumu,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/1f33fbc7/0f9294bd/Kayserispor-vs-Besiktas-History,
beChallenger Pro League,7,20:00(21:00),RFC Liège,https://fbref.com/en/squads/b302c01b/RFC-Liege-Stats,,,Beveren,https://fbref.com/en/squads/0217e4d8/Beveren-Stats,,Stade de Rocourt,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/b302c01b/0217e4d8/RFC-Liege-vs-Beveren-History,
beChallenger Pro League,7,20:00(21:00),Club NXT,https://fbref.com/en/squads/ad590ea7/Club-NXT-Stats,,,Lommel,https://fbref.com/en/squads/6f98eba9/Lommel-Stats,,Stadion Schiervelde,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/ad590ea7/6f98eba9/Club-NXT-vs-Lommel-History,
beChallenger Pro League,7,20:00(21:00),RWDM,https://fbref.com/en/squads/e423ea45/RWD-Molenbeek-Stats,,,Kortrijk,https://fbref.com/en/squads/77193015/Kortrijk-Stats,,Stade Edmond Machtens,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/e423ea45/77193015/RWD-Molenbeek-vs-Kortrijk-History,
beChallenger Pro League,7,20:00(21:00),Lokeren-Temse,https://fbref.com/en/squads/ce6f0cf4/Lokeren-Temse-Stats,,,Eupen,https://fbref.com/en/squads/5809ddc3/Eupen-Stats,,Daknamstadion,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/ce6f0cf4/5809ddc3/Lokeren-Temse-vs-Eupen-History,
brSérie B,28,19:00(01:00),Vila Nova,https://fbref.com/en/squads/f050c492/Vila-Nova-Stats,,,Cuiabá,https://fbref.com/en/squads/f0e6fb14/Cuiaba-Stats,,Estádio Onésio Brasileiro Alvarenga,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/f0e6fb14/f050c492/Cuiaba-vs-Vila-Nova-History,
brSérie B,28,19:00(01:00),Athletic,https://fbref.com/en/squads/5237f85d/Athletic-Stats,,,Ath Paranaense,https://fbref.com/en/squads/2091c619/Athletico-Paranaense-Stats,,Estádio Joaquim Portugal,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/5237f85d/2091c619/Athletic-vs-Athletico-Paranaense-History,
brSérie B,28,19:00(01:00),CRB,https://fbref.com/en/squads/7fcb6e83/CRB-Stats,,,Botafogo (SP),https://fbref.com/en/squads/3cc399a5/Botafogo-SP-Stats,,Estádio Rei Pelé,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/7fcb6e83/3cc399a5/CRB-vs-Botafogo-SP-History,
brSérie B,28,20:00(02:00),Operário,https://fbref.com/en/squads/d2dc922e/Operario-Stats,,,Amazonas,https://fbref.com/en/squads/3c7dd952/Amazonas-Stats,,Estádio Germano Krüger,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/d2dc922e/3c7dd952/Operario-vs-Amazonas-History,
brSérie B,28,21:30(03:30),Volta Redonda,https://fbref.com/en/squads/02b8d5d3/Volta-Redonda-Stats,,,Remo,https://fbref.com/en/squads/2d4d7b6a/Remo-Stats,,Estádio General Sílvio Raulino de Olivei...,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/2d4d7b6a/02b8d5d3/Remo-vs-Volta-Redonda-History,
seSuperettan,24,19:00(20:00),Örebro,https://fbref.com/en/squads/6dc9bfb4/Orebro-Stats,,,Varberg,https://fbref.com/en/squads/74780d66/Varberg-Stats,,Behrn Arena,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/74780d66/6dc9bfb4/Varberg-vs-Orebro-History,
seSuperettan,24,19:00(20:00),Landskrona,https://fbref.com/en/squads/4c73fbee/Landskrona-Stats,,,Kalmar,https://fbref.com/en/squads/9f13771c/Kalmar-Stats,,Landskrona IP A-Plan,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/9f13771c/4c73fbee/Kalmar-vs-Landskrona-History,
seSuperettan,24,19:00(20:00),Brage,https://fbref.com/en/squads/a5c668fb/Brage-Stats,,,Sundsvall,https://fbref.com/en/squads/bc509855/Sundsvall-Stats,,Energi Arena Domnarvsvallen,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/bc509855/a5c668fb/Sundsvall-vs-Brage-History,
seSuperettan,24,19:00(20:00),Oddevold,https://fbref.com/en/squads/0badeac1/Oddevold-Stats,,,Falkenberg,https://fbref.com/en/squads/f6c2b357/Falkenberg-Stats,,Rimnersvallen,,Head-to-Head,https://fbref.com/en/stathead/matchup/teams/f6c2b357/0badeac1/Falkenberg-vs-Oddevold-History,
